Structures,Volume in nm3
ARAHIM01_clean.cif,1.5
ARAHIM02_clean.cif,1.6
ARAHIM_clean.cif,1.6
ARIBOS_clean.cif,2.0
ARINOF_clean.cif,1.4
ARINUL_clean.cif,3.2
AROFAP_clean.cif,4.4
AROFET_clean.cif,3.8
ARUCOH01_clean.cif,3.7
ARUCUN_clean.cif,2.0
ARUDAU_clean.cif,2.1
ARUJED_clean.cif,4.0
ARUYES.cif,2.5
ARUYES_clean.cif,2.5
ARUYOB_clean.cif,2.0
ARUYUH01_clean.cif,2.0
ARUYUH_clean.cif,2.0
ASACON_clean.cif,3.0
ASADAA_clean.cif,3.2
ASAHEJ_clean.cif,3.2
ASAJOU_clean.cif,2.7
ASALAH_clean.cif,1.1
ASALIP_clean.cif,1.0
ASALOV_clean.cif,2.4
ASAMUE_clean.cif,9.3
ASANAL_clean.cif,4.0
ASECUY_clean.cif,7.3
ASEJOZ01_clean.cif,3.4
ASEJOZ_clean.cif,3.4
ASEKAM_clean.cif,1.9
ASEXED_clean.cif,4.5
ASINAT_clean.cif,9.4
ASIQEA_clean.cif,4.2
ASIQIE_clean.cif,4.2
ASIRUR_clean.cif,1.2
ASOHUL_clean.cif,1.5
ASOSUY_clean.cif,6.6
ASOVEL_clean.cif,3.1
ASOYOY_clean.cif,16.3
ASUBIB_clean.cif,1.9
ASUJIJ_clean.cif,3.4
ASUKEE01_clean.cif,13.3
ASUKEE_clean.cif,13.3
ASUWUI_clean.cif,5.3
ATAFIK_clean.cif,4.2
ATAYAX_clean.cif,8.3
ATAYEB_clean.cif,8.1
ATEJOA_clean.cif,1.8
ATEXII_clean.cif,2.8
ATEYED_clean.cif,8.8
ATEZAC_clean.cif,17.6
ATEZEG_clean.cif,16.7
ATEZIK_clean.cif,17.4
ATIBAG_clean.cif,1.8
ATIBIO_clean.cif,1.8
ATIBOU01_clean.cif,1.8
ATIBOU02_clean.cif,1.8
ATIBOU_clean.cif,1.7
ATIBUA_clean.cif,1.7
ATICAH_clean.cif,1.8
ATICEL_clean.cif,1.8
ATIJUJ_clean5b.cif,3.6
ATIJUJ_manual.cif,3.6
ATIRUS_clean.cif,2.4
ATIXAE_clean.cif,3.7
ATIXUX_clean.cif,4.5
ATOGEV_clean.cif,2.1
ATOTIM_clean.cif,3.1
ATOTIM_manual.cif,3.1
ATOWIQ_clean.cif,2.7
ATOWOW_clean.cif,2.8
ATOXEN_clean.cif,1.7
ATULIM_clean.cif,1.6
ATUXIY_clean.cif,5.3
ATUXOE_clean.cif,2.2
ATUXUK_clean.cif,2.2
ATUYAR_clean.cif,2.2
ATUZEW_clean.cif,13.3
AVAGIP_clean.cif,7.7
AVAGOV_clean.cif,7.7
AVAGUB_clean.cif,4.1
AVALEO_clean.cif,3.1
AVAQIX01_clean.cif,3.6
AVAQIX_clean.cif,3.6
AVEHAM_clean.cif,3.0
AVELOD_clean.cif,4.8
AVELUJ_clean.cif,4.8
AVEMAQ_clean.cif,4.8
AVEMOE_clean.cif,1.2
AVEQID_clean.cif,4.6
AVEROJ_clean.cif,1.5
AVESAW_clean.cif,2.4
AVESOL_clean.cif,4.0
AVESUR_clean.cif,7.5
AVETAY_clean.cif,7.7
AVETEC_clean.cif,8.0
AVETOM_clean.cif,11.6
AVEVEE_clean.cif,1.3
AVIHIY_clean.cif,1.5
AVIHOE_clean.cif,1.5
AVIMIC_clean.cif,3.0
AVIMOI_clean.cif,3.6
AVIMUO_clean.cif,3.5
AVIPAX_clean.cif,4.0
AVIPOL_clean.cif,2.8
AVITUU_clean.cif,17.0
AVIVAC_clean.cif,18.0
AVIVEG_clean.cif,18.1
AVIVIK_clean.cif,18.1
AVIVOQ_clean.cif,18.7
AVIVUW_clean.cif,18.2
AVOSIO_charged.cif,8.2
AVUBUP_clean.cif,5.8
AVUDAX_clean.cif,5.1
AVUHIJ_clean.cif,4.0
AVUJIL_clean.cif,1.3
AVUPIR_SL.cif,1.7
AVUPIR_clean_h.cif,1.4
AWAGEL_clean.cif,3.8
AWAGOV_clean.cif,6.8
AWAHAI_clean.cif,12.0
AWAHEM_clean.cif,3.5
AWAJIT_clean.cif,4.8
AWAKEQ_clean.cif,4.0
AWAREV_clean.cif,3.4
AWARIZ_clean.cif,3.4
AWASAU_clean.cif,3.6
AWASOI_clean.cif,11.3
AWAWUR_clean.cif,8.4
AWEBIO_charged.cif,4.2
AWEDOW_charged.cif,7.8
AWEDUC_charged.cif,3.3
AWEGEP_clean.cif,5.4
AWEJES_clean.cif,8.8
AWEJIW_clean.cif,3.4
AWEWOP_clean.cif,9.0
AWEZOS01_clean.cif,19.1
AWEZOS_clean.cif,19.1
AWIBAK_clean.cif,19.1
AWIBAL_clean.cif,1.1
AWIBEO_clean.cif,19.1
AWIBIS_clean.cif,19.2
AWOFOI_clean.cif,1.8
AWOKED_clean.cif,2.0
AWUPAL_clean.cif,17.6
AWUPOZ_clean.cif,17.6
AXAFAG_clean.cif,4.8
AXAQAT_clean.cif,0.8
AXAWUT_clean.cif,2.1
AXIGAR_clean.cif,4.0
AXIMUP_clean.cif,5.1
AXINEA_clean.cif,12.1
AXINIF_clean.cif,9.4
AXIPEE01_clean.cif,7.0
AXIPEE03_clean.cif,6.5
AXIPEE_clean.cif,6.3
AXOCAT_clean.cif,1.3
AXOCEW_clean.cif,2.8
AXOHIE_clean.cif,12.5
AXUBAW_clean5b.cif,5.9
AXUBAW_manual.cif,5.9
AXUBOL_clean.cif,6.6
AXUDII04_clean.cif,1.5
AXUHAD_clean.cif,14.2
AXUHEH_clean.cif,8.8
AXUHIL_clean.cif,6.9
AXUJOT_clean.cif,3.0
AXUPEO_clean.cif,1.1
AYAWEE_clean.cif,1.1
AYOXUJ_clean.cif,4.7
AYOYEU_clean.cif,2.4
AYOYOE_clean.cif,2.4
AYUPOZ_clean.cif,1.1
AYUWUM_clean.cif,2.7
AZAFIS_clean.cif,0.8
AZAVOO_clean.cif,5.6
AZAVUU_clean.cif,5.5
AZAWAB_clean.cif,6.2
AZAWAZ_clean.cif,0.9
AZEBUE_clean.cif,3.1
AZEWEH_clean.cif,1.0
AZILEA_clean.cif,3.0
AZILEC_clean.cif,4.2
AZIMIH_clean.cif,6.4
AZIVAI_clean.cif,3.6
AZIXUD_clean.cif,3.0
AZOBUN_clean.cif,1.5
AZOHEC_clean.cif,2.9
BABREE_clean.cif,13.8
BACGAQ_clean.cif,2.0
BACMOH10_clean.cif,1.2
BACMOH_clean.cif,1.2
BADHIA_clean.cif,6.3
BADHOG_clean.cif,6.2
BADHUM01_clean.cif,3.1
BADHUM_clean.cif,6.2
BADJAU_clean.cif,18.3
BADJIC_clean.cif,3.3
BADXAI_clean.cif,11.7
BADYAJ_clean.cif,8.9
BAEDTA01_clean.cif,3.5
BAFCAP_clean.cif,3.2
BAFHAU_clean.cif,3.5
BAFKUR_clean.cif,1.5
BAFVAH_clean.cif,10.7
BAHGUN01_clean.cif,0.7
BAHGUN02_clean.cif,0.7
BAHGUN03_clean.cif,0.7
BAHGUN04_clean.cif,0.7
BAHGUN_clean.cif,0.7
BAHMAZ_clean.cif,3.6
BAKFAV_clean.cif,1.0
BAKGAX_clean.cif,2.2
BAKGIF_clean.cif,1.3
BAKGIF_clean5b.cif,1.3
BAKGIF_manual.cif,1.3
BAKJEE_clean.cif,4.4
BAKJII_clean.cif,2.3
BAKJOO_clean.cif,3.0
BAKLIK_clean.cif,3.2
BAKYIY_clean.cif,3.2
BAKYOE_clean.cif,3.2
BALMUW01_clean.cif,0.5
BALMUW_clean.cif,0.5
BAMKIM_clean.cif,3.5
BAMKOS_clean.cif,3.5
BANMAG_clean.cif,3.5
BAPDAA_clean.cif,5.2
BAPVEW_clean.cif,2.7
BAQWEY_clean.cif,4.2
BAQWIC_clean.cif,2.4
BAQWOI_clean.cif,10.3
BARZAW_clean.cif,6.3
BARZIE_clean.cif,6.3
BARZOK_clean.cif,6.3
BARZOL_charged.cif,11.3
BARZUR_clean.cif,3.1
BASJUB_clean.cif,4.4
BASSOF_clean.cif,3.8
BASSUL_clean.cif,3.8
BASTAS_clean.cif,3.9
BASTEW_clean.cif,3.9
BASTIA_clean.cif,3.8
BASTUM_clean.cif,3.8
BAWRUO_clean.cif,4.0
BAXFIR01_clean.cif,1.4
BAXFIR02_clean.cif,1.4
BAXFUD_clean.cif,1.5
BAXGAK_clean.cif,1.4
BAXLOD_clean.cif,0.8
BAXREY_clean.cif,14.3
BAXSIE_clean.cif,1.9
BAYCOU_clean.cif,2.9
BAZDAJ_charged.cif,3.4
BAZDAJ_clean.cif,3.4
BAZJET_clean.cif,6.0
BAZJIX_clean.cif,6.9
BEFGEA_clean5b.cif,12.3
BEFGEA_manual.cif,12.3
BEFKUU_clean.cif,2.9
BEFLAB01_clean.cif,4.1
BEFLEF_clean.cif,2.0
BEFLIJ_clean.cif,2.1
BEFLUV_clean.cif,2.1
BEFMAC_clean.cif,2.1
BEFMOQ_clean.cif,2.6
BEFMUW_clean.cif,2.5
BEFNAD_clean.cif,2.5
BEFNEH_clean.cif,2.6
BEFNIL_clean.cif,1.0
BEFNOR_clean.cif,2.0
BEFNUX_clean.cif,2.0
BEFPAF_clean.cif,3.3
BEGBOG_clean.cif,1.4
BEGDEY_clean.cif,12.5
BEJZAS_clean.cif,1.3
BEKSAM_clean.cif,0.9
BEKYOG_clean.cif,1.7
BEKYUM_clean.cif,3.3
BEKZEX01_clean.cif,1.7
BEKZEX_clean.cif,1.7
BELJIL_clean.cif,3.2
BELTOD_clean.cif,12.6
BELTUJ_clean.cif,12.1
BELVAR_charged.cif,6.9
BELVEV_charged.cif,5.0
BELYIC_clean.cif,1.5
BENXOJ.cif,3.1
BENXUP_clean.cif,1.7
BENZOL_clean.cif,1.2
BENZUR_clean.cif,1.3
BEPBAB_clean.cif,1.2
BEPLUF_clean.cif,3.2
BEPMAM_clean.cif,3.1
BEPMEQ_clean.cif,3.2
BEPMIU_clean.cif,3.2
BEPNER_clean.cif,3.2
BEPNIV_clean.cif,3.1
BEPNOB_clean.cif,3.1
BEPNUH_clean.cif,3.2
BEPPAP_clean.cif,3.1
BEPPIX_clean.cif,3.2
BEPPOD_clean.cif,3.3
BEPREV01_clean.cif,19.6
BEPREV03_clean.cif,19.8
BEPREV_clean.cif,19.8
BEPRIZ_clean.cif,6.8
BEPROF_clean.cif,6.6
BEPVAV_clean.cif,1.6
BEPVEZ_clean.cif,1.8
BEPVID_clean.cif,1.7
BEPVOJ01_clean.cif,1.7
BEPVOJ_clean.cif,1.7
BEPWEA_clean.cif,2.6
BEPYIG_clean.cif,1.4
BEQFEK_clean.cif,8.4
BERFIP_clean.cif,1.2
BERGAI_clean.cif,4.1
BERQIA_clean.cif,17.1
BETDAH_clean.cif,3.1
BETDEL_clean.cif,3.0
BETDIP_clean.cif,2.9
BETDOV_clean.cif,5.5
BETDUB_clean.cif,2.9
BETFAJ_clean.cif,3.1
BETFEN_clean.cif,3.1
BETFIR_clean.cif,5.1
BETFOX_clean.cif,6.2
BETFUD_clean.cif,3.2
BETGAK_clean.cif,3.2
BETGEO_clean.cif,6.4
BETGIS_clean.cif,6.5
BETGOY_clean.cif,6.3
BETGUE_clean.cif,6.6
BETHEP_clean.cif,7.2
BETHIT_clean.cif,7.3
BETZOR_clean.cif,7.5
BEVQID_clean.cif,0.7
BEVQUP_clean.cif,0.8
