,STRUCTURE_NAME,a,b,c,UnitCell
11924,XEDLUN_clean,10.137,15.745,15.988,2 1 1
11925,XEDPED_clean,18.121,26.884,26.884,1 1 1
11926,XEDPIH_clean,10.209,13.636,14.124,2 1 1
11927,XEDPON_clean,9.57,11.6489,11.6489,2 2 2
11928,XEDPUT_clean,29.044,29.044,29.044,1 1 1
11929,XEFGAQ_clean,17.327,17.327,7.7288,1 1 2
11930,XEFKOI_clean,17.765,17.765,7.567,1 1 2
11931,XEGJIE02_clean,13.103,30.424,23.434,1 1 1
11932,XEGJIE_clean,13.103,23.434,30.424,1 1 1
11933,XEGJOK_clean,13.356,19.4413,19.4413,1 1 1
11934,XEGJUQ_clean,13.307,23.947,30.217,1 1 1
11935,XEGKAX_clean,13.652000000000001,24.698,30.143,1 1 1
11936,XEGKEB_clean,13.362,19.4868,19.4868,1 1 1
11937,XEGKIF_clean,14.392000000000001,16.669,19.637,1 1 1
11938,XEGKOL_clean,14.636,19.2662,19.2662,1 1 1
11939,XEGKUR_clean,15.309000000000001,18.7753,18.7753,1 1 1
11940,XEHDEV_clean,31.379,31.379,12.684000000000001,1 1 1
11941,XEHFUL01_clean,7.8177,8.4322,9.4845,2 2 2
11942,XEHFUL02_clean,7.8177,8.4322,9.4845,2 2 2
11943,XEHFUL_clean,7.8198,8.435388,9.4908,2 2 2
11944,XEHRUY_clean,11.3805,9.8406,14.5057,2 2 1
11945,XEHSAF_clean,9.8339,11.279000000000002,14.765999999999998,2 2 1
11946,XEHSEJ_clean,9.9831,11.3762,15.0358,2 2 1
11947,XEHSIN_clean,9.8184,11.2962,14.5847,2 2 1
11948,XEHSOT_clean,9.8179,11.2888,14.5465,2 2 1
11949,XEHSUZ_clean,9.9047,11.4007,14.5357,2 2 1
11950,XEHTUB_clean,6.803999999999999,10.346999,11.498,2 2 2
11951,XEJBUL_clean,12.4042,18.9257,21.6698,1 1 1
11952,XEJJIG_clean,7.707000000000001,9.686,10.57,2 2 2
11953,XEJJOM_clean,7.648,9.676,10.562000000000001,2 2 2
11954,XEJTIR_clean,12.4486,15.036,16.5961,1 1 1
11955,XEJVOZ_clean,9.5354,16.3932,16.3932,2 1 1
11956,XEJWUG_clean,6.746,7.597,22.334,2 2 1
11957,XEJXAN_clean,6.731,7.575,22.186,2 2 1
11958,XEJXER_clean,9.6879,10.4569,23.6987,2 2 1
11959,XEKCAT01_clean,11.960999999999999,17.566,18.514,2 1 1
11960,XEKCAT_clean,17.49,11.94,18.46,1 2 1
11961,XEKCEX_clean,19.4498,26.8572,34.812,1 1 1
11962,XEKCIB_clean,19.4281,26.8587,34.727,1 1 1
11963,XEKCOH_clean,16.6253,16.6254,20.0411,1 1 1
11964,XEKDOI_clean,9.334,29.101999999999997,7.702000000000001,2 1 2
11965,XEKDUO_clean,4.3536,12.9002,12.9002,3 1 1
11966,XEKJIH_clean,18.1226,18.1226,8.7244,1 1 2
