STRUCTURE_NAME,Volume [nm^3],x_box [A],y_box [A],z_box [A],UnitCell,unit vector a,unit vector b,unit vector c,Framework Mass [g/mol],Framework Density [kg/m^3]
ESANET_clean,6.355281909219784,23.51086,23.51086,9.95700,2 2 3,27.148000000000 -13.574000000000 0.000000000000,0.000000000000 23.510857661940 0.000000000000,0.000000000000 0.000000000000 9.957000000000,6897.838358552562,1802.300494083094
ESARAT_clean,4.0131707430985015,26.27913,8.33210,16.63909,1 3 2,28.947000000000 0.000000000000 -7.685520422211,0.000000000000 8.332100000000 0.000000000000,0.000000000000 0.000000000000 16.639091223074,2997.478101302400,1240.273287216707
ESARIB_clean,3.833333721858839,24.06260,15.19160,10.48650,1 2 3,24.062600000000 0.000000000000 0.000000000000,0.000000000000 15.191600000000 0.000000000000,0.000000000000 0.000000000000 10.486500000000,4327.587692993518,1874.641624993584
ESAROH_clean,3.775907761823999,10.37300,15.08800,24.12600,3 2 1,10.373000000000 0.000000000000 0.000000000000,0.000000000000 15.088000000000 0.000000000000,0.000000000000 0.000000000000 24.126000000000,3109.691040538846,1367.555228216527
ESARUN_clean,2.4553451308707,10.32027,11.96647,18.99868,3 3 2,10.481900000000 1.527779698995 3.003575398905,0.000000000000 12.329605849391 4.715838832379,0.000000000000 0.000000000000 18.998676201781,1688.984393020643,1142.252450856128
ESASAU_clean,3.8173014454294147,24.60024,10.51210,13.14688,1 3 2,27.621300000000 0.000000000000 -6.712551625607,0.000000000000 10.512100000000 0.000000000000,0.000000000000 0.000000000000 13.146884826207,3165.797510157070,1377.132364765329
ESASEY_clean,3.781270699573467,24.40011,10.42470,13.18103,1 3 2,27.518500000000 0.000000000000 -6.873604093346,0.000000000000 10.424700000000 0.000000000000,0.000000000000 0.000000000000 13.181032968927,2925.589331503581,1284.767679813446
ESATAU_clean,1.553961653754103,7.24169,13.71975,15.49272,4 2 2,7.275200000000 1.308590520294 0.398976862383,0.000000000000 13.786936645252 1.535147118806,0.000000000000 0.000000000000 15.492716755847,1373.939003196681,1468.169383360325
ESEBOV_clean,22.739751388690998,28.33100,28.33100,28.33100,1 1 1,28.331000000000 0.000000000000 0.000000000000,0.000000000000 28.331000000000 0.000000000000,0.000000000000 0.000000000000 28.331000000000,5918.465207832792,432.187692484308
ESEDIQ_clean,3.9297225664591253,9.93530,21.34200,18.06091,3 2 2,10.195000000000 0.000000000000 -4.156410012675,0.000000000000 21.342000000000 0.000000000000,0.000000000000 0.000000000000 18.060906533354,1975.027672296498,834.565260199795
ESEHIV_clean,1.546564567728668,10.46699,10.41428,12.24054,3 3 2,11.807400000000 5.493998730047 0.328247707121,0.000000000000 10.700729023961 2.890620919126,0.000000000000 0.000000000000 12.240535380231,1157.464962524877,1242.764405184592
ESEQUO_clean,1.119690294800183,9.04864,10.84671,10.01010,3 3 3,9.977999950000 -0.534545407537 -4.502697268411,0.000000000000 11.210262748065 -2.613351879104,0.000000000000 0.000000000000 10.010104807894,789.249484021408,1170.483784084596
ESEVIH_clean,3.1094159034313753,11.66950,16.32350,16.32350,3 2 2,11.669500000000 0.000000000000 0.000000000000,0.000000000000 16.323500000000 0.000000000000,0.000000000000 0.000000000000 16.323500000000,2839.533414018746,1516.411874843533
ESEVIJ_clean,14.935764469710062,16.98470,24.23430,36.28600,2 1 1,16.984700000000 0.000000000000 0.000000000000,0.000000000000 24.234300000000 0.000000000000,0.000000000000 0.000000000000 36.286000000000,29852.267659997564,3318.936009625535
ESIDOB_clean,2.384245519741397,7.19411,22.06000,14.85105,4 2 2,7.277600000000 0.000000000000 -2.269082268008,0.000000000000 22.060000000000 0.000000000000,0.000000000000 0.000000000000 14.851054279781,1908.173610751001,1328.972268887346
ESIFET_clean,5.841316031955073,16.29643,16.29643,19.04830,2 2 2,18.817500000000 -9.408750000000 0.000000000000,0.000000000000 16.296433035714 0.000000000000,0.000000000000 0.000000000000 19.048300000000,5013.886226507819,1425.321315424957
ESIGES01_clean,2.5215712784195996,9.97400,9.18040,27.53850,3 3 1,9.974000000000 0.000000000000 0.000000000000,0.000000000000 9.180400000000 0.000000000000,0.000000000000 0.000000000000 27.538500000000,1947.565481036089,1282.536778459982
ESIGES02_clean,2.515725814069694,27.60074,9.11890,9.98796,1 3 3,27.621300000000 0.000000000000 -0.385619064463,0.000000000000 9.118900000000 0.000000000000,0.000000000000 0.000000000000 9.987958705217,1947.565481036089,1285.516842095694
ESIGES_clean,2.505892694272039,27.56043,9.11140,9.97166,1 3 3,27.581000000000 0.000000000000 -0.385338292859,0.000000000000 9.111400000000 0.000000000000,0.000000000000 0.000000000000 9.971657395341,1947.565481036089,1290.561208576001
ESIPUR02_clean,2.676801996378707,7.28000,17.94515,19.59982,4 2 2,7.280000000000 0.000000000000 0.000000000000,0.000000000000 18.760000000000 -5.973193975019,0.000000000000 0.000000000000 19.599817799582,2599.620373771689,1612.659550932589
ESIPUR_clean,2.666064655046737,7.27100,17.90298,19.58399,4 2 2,7.271000000000 0.000000000000 0.000000000000,0.000000000000 18.722999940000 -5.994901281983,0.000000000000 0.000000000000 19.583986305634,2599.620373771689,1619.154395691078
ESIWAF_clean,0.772326910078868,9.13743,9.03711,9.14307,3 3 3,9.154000000000 0.454705220371 0.410067347671,0.000000000000 9.227803864548 1.888172382113,0.000000000000 0.000000000000 9.143067036055,769.714326251132,1654.921550150166
ESOROV_clean,5.226962984442349,13.33506,13.33506,25.45600,2 2 1,15.398000000000 -7.699000000000 0.000000000000,0.000000000000 13.335059167473 0.000000000000,0.000000000000 0.000000000000 25.456000000000,5907.488302758973,1876.732843444304
ESUMOU01_clean,0.7504016712192,6.87960,9.85600,11.06700,4 3 3,6.879600000000 0.000000000000 0.000000000000,0.000000000000 9.856000000000 0.000000000000,0.000000000000 0.000000000000 11.067000000000,748.039105353173,1655.310683838169
ESUMOU_clean,0.777508486735932,6.96430,9.97240,11.19510,4 3 3,6.964300000000 0.000000000000 0.000000000000,0.000000000000 9.972400000000 0.000000000000,0.000000000000 0.000000000000 11.195100000000,748.039105353173,1597.600443892047
ESURER01_clean,2.520066917280495,17.78479,12.65340,11.15806,2 2 3,17.849100000000 0.000000000000 -0.949716981515,0.000000000000 12.653400000000 0.000000000000,0.000000000000 0.000000000000 11.158055395768,2132.200249678097,1404.963123571000
ESURER02_clean,2.512887473307816,17.78946,12.62250,11.15101,2 2 3,17.853100000000 0.000000000000 -0.944098696844,0.000000000000 12.622500000000 0.000000000000,0.000000000000 0.000000000000 11.151005356497,2132.200249678097,1408.977172801816
ESURER03_clean,2.5112771446190867,17.78927,12.61770,11.14854,2 2 3,17.852400000000 0.000000000000 -0.940068250917,0.000000000000 12.617700000000 0.000000000000,0.000000000000 0.000000000000 11.148535926014,2132.200249678097,1409.880663827483
ESURER04_clean,2.593134498143824,17.42605,13.30900,11.12231,2 2 3,17.518000000000 0.000000000000 -1.144082214724,0.000000000000 13.309000000000 0.000000000000,0.000000000000 0.000000000000 11.122312569154,2132.200249678097,1365.375027884100
ESURER_clean,2.541170359178617,17.71087,12.78180,11.17956,2 2 3,17.783500000000 0.000000000000 -1.013484626640,0.000000000000 12.781800000000 0.000000000000,0.000000000000 0.000000000000 11.179555182187,2132.200249678097,1393.295445510696
ESUSAO01_clean,1.2367061917220439,10.27192,10.25749,10.98086,3 3 3,10.918800000000 3.715339585024 0.562652056763,0.000000000000 10.314668745430 1.161088284430,0.000000000000 0.000000000000 10.980859602908,1066.100124839047,1431.464122768017
ESUSAO_clean,1.23783016897051,10.28219,10.26372,10.98277,3 3 3,10.920400000000 3.689261743842 0.574334429926,0.000000000000 10.320732719891 1.159178505154,0.000000000000 0.000000000000 10.982772457162,1066.100124839047,1430.164321594706
ESUSIW_clean,2.543491410059088,17.54450,13.09290,11.01987,2 2 3,17.628600000000 0.000000000000 -1.080313841256,0.000000000000 13.092900000000 0.000000000000,0.000000000000 0.000000000000 11.019873288491,2132.200249678097,1392.024000438080
ESUSOC01_clean,1.2983444446241261,10.83614,10.78598,10.88431,3 3 3,10.991900000000 1.698627676247 0.915547199261,0.000000000000 10.852166166600 1.207635320326,0.000000000000 0.000000000000 10.884305432549,1066.100124839047,1363.506079750413
ESUSOC02_clean,1.294080334305502,10.81601,10.77545,10.88908,3 3 3,10.963800000000 1.698775722676 0.778068541910,0.000000000000 10.839490591538 1.188971392001,0.000000000000 0.000000000000 10.889081794766,1066.100124839047,1367.998954102987
ESUSOC_clean,1.29746306557412,10.76295,10.68663,10.93564,3 3 3,11.043700000000 2.412036140093 0.793623589032,0.000000000000 10.743258171937 1.127266538907,0.000000000000 0.000000000000 10.935644681005,1066.100124839047,1364.432322450599
ESUTAP_clean,2.577858280416177,16.71760,14.01400,10.88841,2 2 3,16.894000000000 0.000000000000 -1.585924125629,0.000000000000 14.014000000000 0.000000000000,0.000000000000 0.000000000000 10.888409229899,2132.200249678097,1373.466150023864
ESUTIX_clean,7.848322386191483,16.68867,14.17300,32.95866,2 2 1,16.801400000000 0.000000000000 -3.837349776212,0.000000000000 14.173000000000 0.000000000000,0.000000000000 0.000000000000 32.958662235974,6396.600749034284,1353.385187364279
ESUVAR01_clean,1.142667564239473,9.52744,9.68608,11.00454,3 3 3,10.648900000000 4.839314264387 0.033643033631,0.000000000000 9.750871855403 1.274986100314,0.000000000000 0.000000000000 11.004535148306,1066.100124839047,1549.269970775299
