x y z dist_to_nearest atom_1 atom_2 atom_3 atom_4
1.57166 4.437 4.92947 1.31764 33 2 117 118
4.35531 -0.572043 6.26529 1.31764 3 111 112 25
3.99564 3.29292 17.4601 1.31764 105 106 0 17
1.21199 8.30197 16.1242 1.31764 1 9 99 100
3.86946 4.25446 11.3122 1.32176 6 43 22 27
1.69784 3.47546 11.0773 1.32176 11 6 22 71
4.48149 0.3895 0.117469 1.32176 19 30 85 14
1.08581 7.34042 22.2721 1.32176 30 35 14 57
3.07064 1.69934 16.8315 1.32237 106 7 62 60
2.49666 6.03058 5.55804 1.32237 88 90 23 118
5.28031 9.65578 5.63673 1.32237 31 76 112 74
0.286991 -1.92586 16.7528 1.32237 46 48 100 15
3.76185 -0.122848 1.18139 1.32242 30 80 85 114
0.978198 3.98781 10.0134 1.32242 108 22 66 71
4.5891 3.74212 12.3761 1.32242 6 38 43 96
1.80545 7.85277 21.2081 1.32242 14 52 57 102
2.47045 6.02239 5.55587 1.32583 33 88 23 118
0.313205 -1.93405 16.7506 1.32583 9 46 100 15
5.2541 9.66397 5.6389 1.32583 31 112 25 74
3.09685 1.70753 16.8337 1.32583 106 7 17 60
1.73012 4.166 13.6374 1.33291 70 77 27 98
1.05353 0.301042 2.44267 1.33291 56 63 19 116
3.83718 3.56392 8.7521 1.33291 110 11 42 49
4.51377 7.42888 19.9469 1.33291 35 84 91 104
3.0732 6.75435 16.6203 1.34358 1 113 99 115
0.28955 4.84053 16.964 1.34358 105 109 0 119
2.4941 0.97557 5.76926 1.34358 103 3 101 111
5.27775 2.88939 5.42551 1.34358 107 2 97 117
3.62497 0.350977 17.2238 1.34828 16 8 45 60
0.841317 -0.577492 16.3604 1.34828 59 16 8 46
4.72598 8.30742 6.02908 1.34828 32 87 24 74
1.94233 7.37894 5.16569 1.34828 88 32 73 24
3.8821 8.39056 18.2233 1.34914 36 99 100 104
1.09845 3.20432 15.361 1.34914 50 98 105 106
1.6852 -0.660637 4.16628 1.34914 116 64 111 112
4.46885 4.5256 7.02849 1.34914 78 110 117 118
1.73394 4.93147 6.58777 1.35127 2 23 108 118
4.51759 10.7549 4.607 1.35127 31 114 3 112
1.04971 -3.02496 17.7825 1.35127 1 100 15 102
3.83336 2.79845 15.8018 1.35127 106 7 96 0
3.39643 9.53597 4.81564 1.35635 81 86 111 24
2.17087 -1.80604 17.5739 1.35635 8 99 53 58
0.612776 6.15039 6.37912 1.35635 32 67 72 117
4.95452 1.57953 16.0104 1.35635 105 16 39 44
2.58262 0.722594 2.97641 1.35822 51 56 103 114
0.201027 4.58755 14.1712 1.35822 70 96 65 109
5.36627 3.14237 8.21836 1.35822 37 97 108 42
2.98468 7.00733 19.4131 1.35822 79 84 115 102
0.861328 -0.279917 16.1131 1.36716 16 8 40 46
1.92232 7.67652 4.91837 1.36716 82 88 32 24
4.70597 8.00984 6.2764 1.36716 32 24 68 74
3.64498 0.0534017 17.4712 1.36716 16 8 54 60
1.93963 -2.24403 17.9012 1.3719 99 15 53 58
3.62767 9.97396 4.48832 1.3719 31 81 86 111
0.844016 5.71241 6.70645 1.3719 23 67 72 117
4.72328 2.01752 15.6831 1.3719 105 7 39 44
0.0937143 -0.296662 2.48429 1.3745 19 116 30 114
5.47359 8.02659 19.9052 1.3745 35 14 102 104
2.87736 4.16162 8.71047 1.3745 108 110 11 22
2.68994 3.5683 13.6791 1.3745 6 27 98 96
3.71992 1.43334 13.174 1.37489 6 38 39 92
1.84738 6.29659 9.21553 1.37489 67 94 22 66
0.936269 -1.65985 20.4103 1.37489 14 52 53 93
4.63103 9.38977 1.97924 1.37489 30 80 81 95
1.45675 0.542542 15.53 1.37617 7 4 8 40
4.2404 -0.769056 18.0543 1.37617 16 12 54 15
4.11055 7.18738 6.85956 1.37617 23 20 24 68
1.3269 8.49898 4.3352 1.37617 28 82 31 32
3.6612 1.5047 13.2838 1.37657 6 7 39 92
4.68975 9.46114 2.08902 1.37657 30 31 81 95
0.877546 -1.73122 20.3005 1.37657 14 15 53 93
1.9061 6.22522 9.10575 1.37657 23 67 94 22
0.586977 -1.02075 16.7143 1.37665 59 16 46 15
3.37063 0.794232 16.87 1.37665 7 44 8 45
4.98032 8.75067 5.67521 1.37665 31 86 32 87
2.18377 6.933 5.51846 1.37665 88 23 72 73
1.93684 -2.33161 17.9796 1.38316 99 15 53 102
0.846811 5.62483 6.78479 1.38316 23 67 108 117
3.63046 10.0615 4.40997 1.38316 31 81 114 111
4.72049 2.1051 15.6047 1.38316 105 7 39 96
5.27738 4.95468 14.016 1.38394 70 21 69 96
3.07357 1.08971 2.82127 1.38394 56 103 13 55
0.289924 2.77525 8.37349 1.38394 97 108 5 41
2.49373 6.64021 19.5683 1.38394 29 83 84 115
4.14492 4.69405 11.2279 1.39269 22 26 27 75
4.20603 0.829086 0.033146 1.39269 19 61 14 18
1.36127 6.90084 22.3564 1.39269 34 30 35 89
1.42238 3.03588 11.1616 1.39269 10 11 47 6
0.972554 0.333842 2.65686 1.39362 51 56 19 116
4.59475 7.39608 19.7327 1.39362 35 79 84 104
1.8111 4.1988 13.8516 1.39362 70 27 98 65
3.7562 3.53112 8.5379 1.39362 37 110 11 42
1.15426 6.00894 5.99904 1.40248 23 32 72 117
4.41304 1.72098 16.3905 1.40248 105 7 16 44
3.93791 9.67742 5.19573 1.40248 31 86 111 24
1.62939 -1.94749 17.1938 1.40248 8 99 15 58
1.4506 2.61412 8.25843 1.40355 101 108 5 11
4.23425 1.25085 2.93633 1.40355 107 13 19 114
1.33305 6.47908 19.4532 1.40355 29 35 119 102
4.1167 5.11581 14.1311 1.40355 21 27 96 113
3.70374 1.25919 3.22008 1.40574 103 13 114 3
0.920089 2.60577 7.97469 1.40574 2 97 108 5
4.64721 5.12415 14.4148 1.40574 21 96 109 0
1.86356 6.47073 19.1695 1.40574 1 29 115 102
3.80297 0.214288 6.80464 1.41048 3 37 101 111
1.01932 3.65067 4.39013 1.41048 51 107 2 117
1.76433 7.51564 15.5849 1.41049 1 65 113 99
4.54798 4.07925 17.9994 1.41049 105 0 79 119
1.94151 6.95189 5.45152 1.41134 88 32 72 73
3.62579 0.778039 16.938 1.41134 16 44 45 60
4.72516 8.73448 5.74324 1.41134 86 87 24 74
0.842144 -1.00455 16.6463 1.41134 59 8 46 58
5.12037 5.80019 7.01022 1.41138 67 94 110 117
2.33672 9.88617 4.18454 1.41138 116 81 95 111
0.446929 1.92973 15.3793 1.41138 98 105 39 92
3.23058 -2.15625 18.205 1.41138 99 53 93 104
2.54284 0.132935 4.09849 1.41906 103 114 3 111
3.02446 7.59699 18.291 1.41906 1 99 115 102
5.32649 3.73203 7.09628 1.41906 2 97 108 117
0.24081 3.9979 15.2933 1.41906 105 96 109 0
0.906602 -1.2934 16.6902 1.42091 8 46 15 58
4.6607 9.02333 5.69935 1.42091 31 86 24 74
3.69025 1.06689 16.8941 1.42091 7 16 44 60
1.87705 6.66303 5.49542 1.42091 88 23 32 72
4.24224 10.625 4.72713 1.4226 31 114 3 111
4.10871 2.66854 15.9219 1.4226 105 7 96 0
1.45859 5.06138 6.46764 1.4226 2 23 108 117
1.32506 -2.89506 17.6624 1.4226 1 99 15 102
4.63576 9.10839 5.70036 1.42299 31 24 25 74
3.71519 1.15195 16.8951 1.42299 7 16 17 60
1.85211 6.57798 5.4944 1.42299 33 88 23 32
0.931544 -1.37846 16.6892 1.42299 8 9 46 15
4.2749 5.15062 14.3483 1.42701 21 96 113 0
4.07605 1.28566 3.15356 1.42701 107 13 114 3
1.49125 6.44426 19.236 1.42701 1 29 119 102
1.2924 2.5793 8.04121 1.42701 2 101 108 5
1.06671 4.60283 17.4951 1.43133 50 105 106 119
1.71694 0.737864 6.30031 1.43133 101 64 111 112
3.85036 6.99206 16.0892 1.43133 113 36 99 100
4.50059 3.1271 4.89446 1.43133 107 78 117 118
3.17978 9.31731 8.00695 1.43384 73 20 24 25
0.39613 6.36905 3.18781 1.43384 28 33 32 87
5.17117 1.36087 19.2017 1.43385 59 16 12 17
2.38752 -1.58739 14.3826 1.43385 4 8 9 45
4.34082 10.6046 4.88262 1.43551 31 3 111 112
4.01013 2.64813 16.0774 1.43551 105 106 7 0
1.55717 5.08179 6.31214 1.43551 2 23 117 118
1.22648 -2.87464 17.5069 1.43551 1 99 100 15
0.831402 1.40591 5.54667 1.44592 107 2 97 112
1.95225 5.27087 16.7414 1.44592 106 1 113 115
4.7359 6.32401 16.8429 1.44592 109 0 100 119
3.61505 2.45905 5.6481 1.44592 103 3 101 118
0.605737 4.2117 14.0948 1.44712 70 98 96 65
2.17791 0.346743 2.90006 1.44712 51 56 116 114
3.38939 7.38318 19.4895 1.44712 79 84 102 104
4.96156 3.51822 8.2947 1.44712 37 108 110 42
1.84455 5.25277 16.6943 1.45256 106 1 109 113
